Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp
9,1,207739,169.286359325885,169.286359325885,0.395021011318136
9,2,185114,196.338202405004,196.338202405004,0.367453520270776
9,3,165686,186.763588957425,186.763588957425,0.365517875533869
9,4,194556,177.907286334012,177.907286334012,0.364941775707177
9,5,180782,194.193061256099,194.193061256099,0.322812136091973
9,6,174584,173.920628465381,173.920628465381,0.348747612888057
9,7,196196,173.242767436645,173.242767436645,0.311126980717585
9,8,182190,197.603765299962,197.603765299962,0.396329134160505
9,9,112930,416.077233684583,416.077233684583,0.685958612780772
10,1,187764,195.176109371338,195.176109371338,0.368197416248692
10,2,205117,169.784089080866,169.784089080866,0.384726730131599
10,3,172163,185.191556838577,185.191556838577,0.375047281856853
10,4,203210,176.578977412529,176.578977412529,0.365965264397643
10,5,180998,172.218052133173,172.218052133173,0.349712668723848
10,6,183913,192.225367429165,192.225367429165,0.316592999513489
10,7,181678,198.267687887361,198.267687887361,0.381884821251198
10,8,194513,172.638862184019,172.638862184019,0.308451423749927
10,9,103310,426.726464040267,426.726464040267,0.685844222426146
11,1,190645,195.521424637415,195.521424637415,0.353151984246717
11,2,172860,186.388840680319,186.388840680319,0.357715044395676
11,3,186414,172.490537191413,172.490537191413,0.348980714383869
11,4,201645,177.492295866498,177.492295866498,0.354088377117476
11,5,186423,191.393014810404,191.393014810404,0.321270832304827
11,6,206988,170.756232245348,170.756232245348,0.382149439199209
11,7,179992,199.684930441353,199.684930441353,0.391141238118449
11,8,111357,416.947062151459,416.947062151459,0.696305712727771
11,9,194126,174.79467459279,174.79467459279,0.297309389829941
