Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid,Volume_affine,MeanIntensity_affine,GMMIntensity_affine,Bimodality_affine
2,8,138181,119.696832415455,119.696832415455,0.179568989542212,138181,119.692924497579,119.692924497579,0.172971640575066,NaN,NaN,NaN,NaN
2,9,113324,121.260236137094,121.260236137094,0.389146756716744,113324,121.426882213829,121.426882213829,0.383703348894794,NaN,NaN,NaN,NaN
4,1,153414,120.262994250851,120.262994250851,0.161081469956581,153448,120.280968145561,120.280968145561,0.162673173068292,NaN,NaN,NaN,NaN
4,2,171362,122.219348513673,122.219348513673,0.174964344920918,171404,122.220689132109,122.220689132109,0.189079141758452,NaN,NaN,NaN,NaN
4,3,174574,121.596532129641,121.596532129641,0.183867947383947,174565,121.619150459714,121.619150459714,0.177777999917272,NaN,NaN,NaN,NaN
4,4,155963,119.805299974994,119.805299974994,0.184276137424711,155947,119.821221312369,119.821221312369,0.183875783536623,NaN,NaN,NaN,NaN
4,5,188130,120.804225801308,120.804225801308,0.16859159803128,188152,120.756415026149,120.756415026149,0.169617531521744,NaN,NaN,NaN,NaN
4,6,192990,120.168231514586,120.168231514586,0.110687875875361,193013,120.148648018527,120.148648018527,0.110148232801033,NaN,NaN,NaN,NaN
4,7,182022,120.704217072662,120.704217072662,0.14527427434874,182044,120.69277207708,120.69277207708,0.12815098648465,NaN,NaN,NaN,NaN
4,8,173321,121.815111844497,121.815111844497,0.235437139991056,173343,121.754059869738,121.754059869738,0.17089006219821,NaN,NaN,NaN,NaN
4,9,138556,121.097505701666,119.6311085408,0.401161465172208,138567,121.229896006986,121.229896006986,0.37254029919232,NaN,NaN,NaN,NaN
6,1,175327,119.766596131799,119.766596131799,0.151158686656817,175327,119.728798188528,119.728798188528,0.151906387527206,NaN,NaN,NaN,NaN
6,2,175316,121.7408279906,121.7408279906,0.135333526730423,175316,121.690918113578,121.690918113578,0.139061271788417,NaN,NaN,NaN,NaN
6,3,174797,121.623700635594,121.623700635594,0.187520508507305,174806,121.610625493404,121.610625493404,0.197285678380187,NaN,NaN,NaN,NaN
6,4,191955,120.619593133807,120.619593133807,0.149814616930297,191955,120.594571644396,120.594571644396,0.146397322170625,NaN,NaN,NaN,NaN
6,5,188003,121.155965596294,121.155965596294,0.183272954208294,188003,121.119987447009,121.119987447009,0.184385031830929,NaN,NaN,NaN,NaN
6,6,156968,120.252541919372,120.252541919372,0.16521649281572,156968,120.246247642832,120.246247642832,0.161494412900333,NaN,NaN,NaN,NaN
6,7,175813,121.634589023565,121.634589023565,0.174278123497308,175813,121.592811680592,121.592811680592,0.169391339209389,NaN,NaN,NaN,NaN
6,8,197782,120.45562285749,120.45562285749,0.128215366307265,197782,120.445793853839,120.445793853839,0.127815977844725,NaN,NaN,NaN,NaN
6,9,92667,121.240840860285,121.240840860285,0.376050077125983,92667,121.331239815684,121.331239815684,0.391527130045785,NaN,NaN,NaN,NaN
8,1,184728,121.485329782166,121.485329782166,0.156943884297649,184728,121.478389848859,121.478389848859,0.156399152652713,NaN,NaN,NaN,NaN
8,2,206475,120.617377406466,120.617377406466,0.12369684989982,206475,120.579295314203,120.579295314203,0.119003640968435,NaN,NaN,NaN,NaN
8,3,191459,121.637671773069,121.637671773069,0.190379992341825,191459,121.652886518785,121.652886518785,0.193644158119448,NaN,NaN,NaN,NaN
8,4,174743,119.981103677973,119.981103677973,0.177515669749105,174743,119.957623481341,119.957623481341,0.180456605870805,NaN,NaN,NaN,NaN
8,5,195369,121.294908608838,121.294908608838,0.206768808665751,195369,121.266874478551,121.266874478551,0.206394133349782,NaN,NaN,NaN,NaN
8,6,158495,120.703347108742,120.703347108742,0.170666740128088,158495,120.667793936717,120.667793936717,0.165542332462032,NaN,NaN,NaN,NaN
8,7,195424,120.52327247421,120.52327247421,0.148836730862848,195424,120.518457303095,120.518457303095,0.150261175467773,NaN,NaN,NaN,NaN
