Frame,ID,Volume_nowarp,MeanIntensity_nowarp,Volume_warp,MeanIntensity_warp
4,4,145536,175.002164412929,145536,321.008616424802
4,5,132273,126.483379072071,132273,129.949294262624
4,6,166251,122.763345784386,166251,124.054189147734
4,7,146370,122.771831659493,146370,134.15237412038
4,8,134214,129.555016615256,134214,128.403102507935
4,9,99096,125.653346250101,99096,132.852819488173
4,10,85226,125.761528172154,85226,123.294346795579
4,11,135777,121.538058728651,135777,122.617541999013
4,12,112915,121.587477305938,112915,122.758242926095
4,13,130916,139.410897063766,130916,193.393741024779
4,14,135666,148.559130511698,135666,206.678939454248
4,15,125792,120.004586937166,125792,123.265231493259
4,16,148111,119.906306756419,148111,136.197493771563
4,17,133414,140.00014241384,133414,181.555189110588
4,18,113426,118.362615273394,113426,121.105443196445
